Payment Plan,Cost per Credit,Deposit,Loan Duration,Product Price,Product Price Weighted Llr 200,Quality of Sales,Deposit to Price Ratio
MK Phone Samsung A03S 3/32 v4,65,"4,999",365,"28,724",0.127900000,,0.17403565
MK +Phone Nokia C30 2/32 v11,70,"2,999",425,"32,749",0.127800000,,0.091575315
MK +Phone Nokia C21 2/32 v4,55,"1,499",365,"21,574",0.127300000,,0.069481784
MK +Phone Samsung A13 4/64 v4,70,"2,499",440,"33,299",0.126100000,,0.075047299
MK Phone Samsung A22 4/64 Staff v7,80,"2,999",350,"30,999",0.126000000,,0.096745056
MK +Phone Samsung A04S 4/64 CSTR1 v3 DS,90,"2,499",410,"39,399",0.125700000,,0.063428006
MK Phone Samsung A12 Saf-Data v1,70,"4,999",365,"30,549",0.125600000,,0.163638744
MK Phone Nokia C30 2/32 v12,70,"4,999",365,"30,549",0.125500000,,0.163638744
MK Phone Nokia C01 Plus Iris 2/16 v8,40,"3,299",365,"17,899",0.125400000,,0.184311973
MK +Phone Nokia G10 3/32 HDR v10,65,"1,499",365,"25,224",0.125400000,,0.059427529
MK Phone Nokia 5.4 4/128 Saf-Data HMD,85,"5,499",365,"36,524",0.125300000,,0.150558537
MK Phone Nokia 5.4 4/128 Demo v5,75,"3,499",365,"30,874",0.124900000,,0.113331606
MK Phone Samsung A12 v9,70,"4,999",365,"30,549",0.124600000,,0.163638744
MK Phone Samsung A03 Saf-Data 6-M v1,75,"2,499",180,"15,999",0.124500000,,0.156197262
MK +Phone Samsung A22 4/64 Saf-Data v6,80,"2,199",420,"35,799",0.124500000,,0.061426297
MK Phone Nokia 1.4  Saf-Data v9,50,"3,499",365,"21,749",0.124000000,,0.16088096
MK Phone Nokia G50 4/128 v15,135,"9,499",365,"58,774",0.123800000,,0.161619083
"MK Phone Samsung A03 Core 2/32 v15 ST Pilot	",55,"3,999",365,"24,074",0.123800000,,0.166112819
MK Phone Nokia C20 2/16 v2,45,"2,999",365,"19,424",0.123600000,,0.154396623
MK Phone Nokia C20 2/16 HMD v5,45,"3,299",365,"19,724",0.123300000,,0.167258163
MK Phone Nokia C30 2/32 v10,75,"5,499",365,"32,874",0.121700000,,0.16727505
MK Phone Nokia 1.4 Saf-Data HMD v2,50,"3,499",365,"21,749",0.121700000,,0.16088096
MK Phone Samsung A03 Core 2/32 v4,50,"3,299",365,"21,549",0.121400000,,0.153092951
MK +Phone Samsung A13 4/64  CSTR 2 Promo,95,"5,499",400,"43,499",0.121200000,,0.126416699
MK Phone Samsung A03 Core 2/32 v12,50,"3,499",365,"21,749",0.121000000,,0.16088096
MK Phone Nokia G21 4/64 v10,90,"5,999",365,"38,849",0.120900000,,0.154418389
MK Phone Nokia C20 2/16 v7,45,"3,299",365,"19,724",0.120900000,,0.167258163
MK +Phone Samsung A03 Core 2/32 v3,50,999,365,"19,249",0.120700000,,0.0518988
MK +Phone Nokia G20 4/64 v5,70,"1,499",440,"32,299",0.120700000,,0.046410106
MK +Phone Nokia 3.4 (4+64GB) v8,65,999,400,"26,999",0.120600000,,0.03700137
MK Phone Nokia C30 2/32 Staff v6,50,"1,999",365,"20,249",0.120500000,,0.098720924
MK Phone Nokia C21 Plus 3/32 v11,60,"3,999",365,"25,899",0.119900000,,0.154407506
MK Phone Nokia C30 2/32 v9,75,"5,499",365,"32,874",0.119500000,,0.16727505
MK Phone Nokia G21 4/64 HMD v11,90,"5,999",365,"38,849",0.119500000,,0.154418389
MK Phone Nokia G10 3/32 Saf-Data v3,55,"3,999",365,"24,074",0.119300000,,0.166112819
MK Phone Nokia 1.4  Saf-Data v1,45,"3,299",365,"19,724",0.119200000,,0.167258163
MK Phone Samsung A33 6/128 v6,170,"10,999",365,"73,049",0.118900000,,0.150570165
MK Phone Nokia 3.4 4+64 Saf-Data HMD,65,"4,999",365,"28,724",0.118800000,,0.17403565
MK Phone Samsung A23 4/64 v9 Promo,130,"8,999",365,"56,449",0.117600000,,0.159418236
MK +Phone Samsung A03 3/32 v6,60,"1,999",365,"23,899",0.117600000,,0.083643667
MK Phone Samsung A03 Core 2/32 v5,50,"3,299",365,"21,549",0.117500000,,0.153092951
MK Phone Nokia C01 Plus Iris 2/16 v6,40,"3,499",365,"18,099",0.117200000,,0.193325598
MK Phone Samsung A12 Demo v14,65,"2,599",330,"24,049",0.117100000,,0.108071022
MK +Phone Samsung A13 4/64 v3,75,"2,499",400,"32,499",0.116900000,,0.076894674
MK Phone Nokia C01 Plus Iris v4,40,"3,499",365,"18,099",0.115100000,,0.193325598
MK Phone Samsung A04S 4/64 v1,85,"4,899",365,"35,924",0.114900000,,0.136371228
MK Phone Nokia G50 4/128 v5,100,"8,999",365,"45,499",0.114200000,,0.197784567
MK Phone Samsung A03 3/32 v5,55,"4,999",365,"25,074",0.113700000,,0.199369865
MK Phone Nokia C21 Plus 3/32 v6,70,"5,299",365,"30,849",0.113600000,,0.171772181
MK Phone Nokia C01 Plus 1/16 v1,40,"3,299",365,"17,899",0.113500000,,0.184311973
MK Phone Nokia C21 Plus 3/32 v3,70,"5,299",365,"30,849",0.113200000,,0.171772181
MK +Phone Nokia C21 Plus 3/32 v6,60,"2,199",430,"27,999",0.112900000,,0.078538519
MK +Phone Samsung A13 4/64  CSTR 1,100,"3,999",400,"43,999",0.112700000,,0.090888429
MK Phone Nokia G20 4/64 F&F v1,65,"4,999",365,"28,724",0.112400000,,0.17403565
MK Phone Samsung A02 2GB/32 Staff v3,40,999,340,"14,599",0.112400000,,0.068429344
MK +Phone Samsung A23 4/64 CSTR1 v2,100,"2,999",430,"45,999",0.112200000,,0.06519707
MK Phone Nokia C21 Plus 3/32 v11 HMD,65,"4,499",365,"28,224",0.112000000,,0.159403345
MK Phone Samsung A33 6/128 v8,170,"10,999",365,"73,049",0.112000000,,0.150570165
MK +Phone Samsung A23 4/64 v3,90,"2,499",440,"42,099",0.111100000,,0.05936008
MK Phone Samsung A12 Staff v8,55,"2,999",340,"21,699",0.111000000,,0.138209134
MK +Phone Samsung A21 4/64 Saf-Data v12,80,"2,199",420,"35,799",0.110700000,,0.061426297
MK Phone Samsung A03S 3/32 v3,55,"4,499",365,"24,574",0.110200000,,0.183079678
MK Phone Samsung A23 4/64 v9,140,"13,999",273,"52,219",0.110200000,,0.268082499
MK Phone Samsung A03 Core Demo v6,35,999,320,"12,199",0.100400000,,0.081891958
MK Phone Nokia G10 3/32 HMD v4,55,"4,299",365,"24,374",0.109700000,,0.176376467
MK Phone Samsung A13 4/64 v2,80,"5,999",365,"35,199",0.109500000,,0.170430978
MK Phone Nokia C30 2/32 HMD v7,55,"4,299",365,"24,374",0.109100000,,0.176376467
MK Phone Nokia (G10 3/32) Saf -Data HMD,55,"3,999",365,"24,074",0.108700000,,0.166112819
MK Phone Nokia C21 Plus 3/32 HMD v13 HRA,60,"3,999",365,"25,899",0.108600000,,0.154407506
MK Phone Nokia C21 Plus 3/32 HMD v4,70,"5,299",365,"30,849",0.107600000,,0.171772181
MK Phone Nokia C20 2/16 HMD v6,45,"3,999",365,"20,424",0.107600000,,0.19579906
MK Phone Nokia C21 2/32 v2,50,"3,999",365,"22,249",0.107500000,,0.179738415
MK Phone Nokia G50 4/128 v16,130,"8,499",365,"55,949",0.107000000,,0.1519062
MK Phone Nokia G50 4/128 HMD v19,100,"5,999",365,"42,499",0.106900000,,0.141156263
MK Phone Nokia C30 2/32 v8,60,"3,999",365,"25,899",0.106200000,,0.154407506
MK Phone Nokia 5.4 v2,85,"5,499",365,"36,524",0.106000000,,0.150558537
MK Phone Nokia 5.4 4/128 v3,85,"5,499",365,"36,524",0.105800000,,0.150558537
MK Phone Nokia 5.4 4/128 Saf-Data v4,85,"5,499",365,"36,524",0.105200000,,0.150558537
MK Phone Nokia G21 4/64 v7,70,"4,499",365,"30,049",0.104900000,,0.149722121
MK Phone Samsung A23 4/64 v6,100,"8,299",365,"44,799",0.103300000,,0.185249671
MK Phone Nokia C31 4/64 v5 HMD,70,"4,299",365,"29,849",0.102500000,,0.144024925
MK Phone Samsung A23 4/64 v2,100,"7,499",365,"43,999",0.102000000,,0.170435692
MK +Phone Samsung A23 4/64 v4,100,"7,499",365,"43,999",0.101700000,,0.170435692
MK +Phone Samsung A23 4/64 CSTR2 v2,90,"4,999",440,"44,599",0.101300000,,0.112087715
MK +Phone Samsung A04S 4/64 CSTR2 v1,70,"4,199",440,"34,999",0.101000000,,0.119974856
MK Phone Nokia G20 4/64 Saf-Data v4,70,"4,999",365,"30,549",0.100600000,,0.163638744
MK Phone Nokia G50 4/128 v1,105,"6,999",365,"45,324",0.100400000,,0.154421499
MK Phone Samsung A03 Core 2/32 v9,50,"4,299",365,"22,549",0.100400000,,0.19065147
MK Phone Nokia G20 4/64 Saf-Data HMD,70,"4,999",365,"30,549",0.100400000,,0.163638744
MK Phone Samsung A03 3/32 ST Pilot v10,60,"4,999",365,"26,899",0.099900000,,0.18584334
MK Phone Samsung A04S 4/128 ST Pilot v1,90,"6,399",365,"39,249",0.099000000,,0.163036001
MK Phone Samsung A03 Core 2/32 DS v24 Demo,70,"1,899",365,"27,449",0.098500000,,0.069182848
MK Phone Samsung A23 4/64 v12,100,"7,499",365,"43,999",0.098200000,,0.170435692
MK Phone Nokia G21 4/64 v15 HRA,70,"9,249",365,"34,799",0.097900000,,0.2657835
MK Phone Nokia G50 4/128 v13,135,"9,499",365,"58,774",0.097500000,,0.161619083
MK Phone Nokia G20 4/64 v3,70,"4,999",365,"30,549",0.097200000,,0.163638744
MK Phone Samsung A23 4/64 Staff v5,85,"5,499",365,"36,524",0.097000000,,0.150558537
MK Phone Nokia C30 2/32 HMD v5,55,"3,999",365,"24,074",0.096800000,,0.166112819
MK +Phone Samsung A23 4/64 CSTR 1,120,"3,999",440,"56,799",0.096400000,,0.070406169
MK Phone Samsung A10S Staff v10,50,999,340,"17,999",0.095800000,,0.055503084
MK Phone Nokia C30 2/32 HMD v10,75,"5,499",365,"32,874",0.095000000,,0.16727505
MK Phone Nokia G21 4/64 HMD v16,80,"5,599",365,"34,799",0.094900000,,0.160895428
MK Phone Nokia 3.4 4+64 Saf-Data v1,65,"4,999",365,"28,724",0.093900000,,0.17403565
MK Phone Samsung A23 4/64 v14 HRA,100,"6,999",365,"43,499",0.093800000,,0.160900251
MK Phone Nokia 3.4 3+64 Saf-Data v2,60,"4,499",365,"26,399",0.093000000,,0.170423122
MK Phone Nokia G21 4/64 v6,70,"4,999",365,"30,549",0.092400000,,0.163638744
MK Phone Nokia G50 4/128 v3,105,"7,999",365,"46,324",0.091400000,,0.172675071
MK Phone Nokia G21 4/64 v2,65,"4,999",365,"28,724",0.088500000,,0.17403565
MK Phone Samsung A13 4/64 Staff v5,75,"2,499",365,"29,874",0.088400000,,0.083651336
MK Phone Nokia C21 Plus 3/32 v2,55,"4,699",365,"24,774",0.088000000,,0.189674659
MK Phone Samsung A33 6/128 Staff v3,140,"6,999",365,"58,099",0.087300000,,0.120466789
MK Phone Samsung A53 6/128 v2,170,"13,999",365,"76,049",0.085900000,,0.184078686
MK Phone Nokia G21 4/64 HMD v8,70,"4,499",365,"30,049",0.085700000,,0.149722121
MK Phone Samsung A03 Core Staff v7,35,999,320,"12,199",0.085300000,,0.081891958
MK +Phone Samsung A53 6/128 CSTR1 v4,165,"8,999",400,"74,999",0.084700000,,0.119988267
MK +Phone Samsung A04S 4/64 CSTR2 v4 DS,85,"3,999",410,"38,849",0.084600000,,0.102937013
MK Phone Nokia 3.4 4+64 Saf-Data HMD v2,60,"4,499",365,"26,399",0.084600000,,0.170423122
MK Phone Nokia C30 2/32 HMD v14,70,"4,699",365,"30,249",0.083300000,,0.155343978
MK +Phone Samsung A13 4/64 CSTR2,90,"4,499",400,"40,499",0.083200000,,0.111089163
MK Phone Nokia G50 4/128 v7,100,"7,999",365,"44,499",0.083100000,,0.179756848
MK +Phone Samsung A23 4/64 CSTR1,100,"2,999",430,"45,999",0.082800000,,0.06519707
MK Phone Nokia G50 4/128 HMD v2,105,"6,999",365,"45,324",0.082000000,,0.154421499
MK Phone Samsung A53 6/128 v3,170,"13,999",365,"76,049",0.081300000,,0.184078686
MK +Phone Samsung A23 4/64 CSTR1 v15 DS,100,"3,499",400,"43,499",0.080300000,,0.080438631
MK Phone Nokia C21 2/32 v10 HRA,45,"5,224",365,"21,649",0.077300000,,0.241304448
MK Phone Nokia C31 4/64 v1 HRA,60,"7,949",365,"29,849",0.075800000,,0.266307079
MK Phone Nokia C30 2/32 HMD v16,65,"4,299",365,"28,024",0.073700000,,0.153404225
MK Phone Samsung A03 Core 2/32 F&F v1,50,"3,999",365,"22,249",0.071800000,,0.179738415
MK Phone Samsung A22 4/64 Demo v6,85,"2,999",310,"29,349",0.068600000,,0.102184061
MK +Phone Nokia 5.4 4/128 Saf-Data v11,85,"5,499",365,"36,524",0.066700000,,0.150558537
MK Phone ST pilot Samsung A23 4/128 v1,115,"9,499",365,"51,474",0.061000000,,0.184539768
MK Phone Samsung A04S 4/64 v1 HRA,75,"8,549",365,"35,924",0.061000000,,0.237974613
MK Phone Nokia C21 Plus 3/32 v11 HRA,55,"5,824",365,"25,899",0.059700000,,0.224873547
MK Phone Nokia G50 4/128 HMD v8,100,"7,999",365,"44,499",0.055400000,,0.179756848
MK Phone Samsung A33 6/128 v4,130,"9,499",365,"56,949",0.055000000,,0.166798363
MK Phone Nokia 3.4 3+64 Saf-Data v1,60,"4,999",365,"26,899",0.054400000,,0.18584334
MK Phone Nokia G21 4/64 HMD v5,65,"4,999",365,"28,724",0.052900000,,0.17403565
MK Phone Nokia C30 2/32 v12 HMD,70,"4,999",365,"30,549",0.050600000,,0.163638744
MK Phone Samsung A11 v3,60,"4,499",365,"26,399",0.050400000,,0.170423122
MK +Phone Samsung A33 6/128 CSTR1 v2,150,"4,499",410,"65,999",0.045100000,,0.0681677
MK Phone Nokia 5.4 4/128 Staff v6,75,"3,499",365,"30,874",0.038500000,,0.113331606
MK Phone Nokia G50 4/128 HMD v17,130,"8,499",365,"55,949",0.032400000,,0.1519062
MK +Phone Samsung A23 4/64 CSTR2,90,"4,999",440,"44,599",0.024500000,,0.112087715
MK Phone Samsung A33 6/128 v9,190,"15,999",273,"67,869",0.021600000,,0.235733546
MK Phone Nokia C31 4/64 v7 HMD,85,"3,999",365,"35,024",0.015800000,,0.114178849
MK +Phone Samsung A33 6/128 CSTR1 v1,150,"4,499",410,"65,999",0.013100000,,0.0681677
MK +Phone Nokia G50 4/128 CSTR2,110,"6,999",440,"55,399",0.011400000,,0.126338021
MK Phone Samsung A03 3/32 v13 HRA,55,"5,824",365,"25,899",0.010600000,,0.224873547
MK +Phone Samsung A12S v5,70,"1,999",380,"28,599",0.007100000,,0.069897549
MK Phone Nokia G50 4/128 v18 HRA,85,"11,474",365,"42,499",0.005900000,,0.269982823
MK Phone Samsung A53 6/128 v4 HRA,170,"13,999",365,"76,049",0.004500000,,0.184078686
MK Phone Samsung A23 4/64 F&F v1,100,"7,499",365,"43,999",0.003000000,,0.170435692
MK +Phone Samsung A53 6/128 CSTR2 v3,170,"12,999",365,"75,049",0.002700000,,0.173206838
MK Phone Nokia C1 2nd Edition v2,35,"2,499",365,"15,274",0.001300000,,0.163611366
MK +Phone Nokia C1 Plus v5,35,999,380,"14,299",0.001000000,,0.069865026
MK Phone Samsung A03 Dual v4,40,"2,499",365,"17,099",0.000800000,,0.146148898
MK Phone Samsung A21S dual-sim Staff v4,70,"2,999",365,"28,549",0.000500000,,0.105047462
MK Farmer Phone Samsung A03 Saf-Data v5,40,"2,499",365,"17,099",0.000400000,,0.146148898
MK Phone Nokia 1.4  v2,45,"3,299",365,"19,724",0.000200000,,0.167258163
MK +Phone Nokia 1.4 Trade-In v10,50,999,420,"21,999",0.000000000,,0.045411155
MK +Phone Nokia 5.4 4/128 v7,85,"5,499",365,"36,524",0.000000000,,0.150558537
MK +Phone Nokia G10 3/32 v4,55,"1,499",400,"23,499",0.000000000,,0.063789949
MK +Phone Samsung A01 v3,50,0,400,"20,000",0.000000000,,0
MK +Phone Samsung A10S v9,60,"1,499",400,"25,499",0.000000000,,0.058786619
MK +Phone Samsung A12 Trade-In Saf-Data v17,65,0,410,"26,650",0.000000000,,0
MK +Phone Samsung A33 6/128 CSTR 2,150,"8,999",430,"73,499",0.000000000,,0.12243704
MK Phone LCD Screen Rep Trade-In v1,50,0,60,"3,000",0.000000000,,0
MK Phone Nokia 2.4 Staff v2,35,"1,999",350,"14,249",0.000000000,,0.140290547
MK Phone Nokia C21 Plus 3/32 F&F v1,55,"4,299",365,"24,374",0.000000000,,0.176376467
MK Phone Nokia G50 4/128 v12,145,"14,499",273,"54,084",0.000000000,,0.268082982
MK Phone Nokia G50 4/128 v14,145,"14,499",273,"54,084",0.000000000,,0.268082982
MK Phone Samsung A02S v3,55,"4,499",365,"24,574",0.000000000,,0.183079678
MK Phone Samsung A10S v3,60,"3,499",365,"25,399",0.000000000,,0.137761329
MK Phone Samsung A13 4/64 F&F v1,80,"5,999",365,"35,199",0.000000000,,0.170430978
MK Phone Samsung A21S single v5,85,"5,999",365,"37,024",0.000000000,,0.162030035
MK Phone Samsung A23 4/64 v11,140,"13,999",273,"52,219",0.000000000,,0.268082499
M-KOPA Phone Nokia 2.2 v6,60,"2,999",330,"22,799",0.000000000,,0.131540857
